id,niveau,matieres_preferees,mathematiques,physique,chimie,informatique,francais,anglais,biologie,economie,gestion,histoire_geographie,droit,technique,competences,centres_interet,activites_projets,preferences_professionnelles,environnement_travail,parcours_recommande
584,Bac+3,Biologie;Anglais;Histoire-Géographie;Français,0,0,10.07,12.4,11.38,16.2,14.12,0,10.2,14.99,0,0,Communication touristique;Valorisation du patrimoine;Environnement,Communication;Environnement;Tourisme;Business,Projet de valorisation du patrimoine;Projet de découverte touristique,Entrepreneur;Professionnel du tourisme;Comptable,Environnement international;Terrain;Travail en équipe;Entreprise,TEE
585,Baccalauréat S,Histoire-Géographie;Biologie;Anglais;Français;Gestion,13.82,10.71,0,0,18.75,15.29,15.56,0,13.55,17.47,0,0,Environnement;Gestion touristique;Valorisation du patrimoine,Communication,Création d'un circuit touristique;Projet de découverte touristique,Professionnel du tourisme;Entrepreneur,Travail en équipe;Terrain;Bureau;Entreprise,TEE
586,Bac+1,Français;Anglais;Biologie,15.84,0,10.59,0,16.29,18.47,16.27,11.29,0,14.4,13.99,0,Communication touristique;Maintenance industrielle,Tourisme;Communication,Projet de découverte touristique,Commercial,Travail en équipe;Terrain,TEE
587,Baccalauréat D,Anglais;Français;Biologie;Histoire-Géographie;Technique;Informatique,11.01,0,0,11.32,11.18,13.68,15.03,0,14.25,15.59,8.84,15.7,Valorisation du patrimoine,Environnement;Tourisme;Communication,Création d'un circuit touristique,Commercial,Environnement international;Bureau,TEE
588,Baccalauréat S,Biologie;Français;Anglais;Histoire-Géographie,10.51,12.91,0,0,17.29,13.82,16.32,10.29,10.28,14.52,0,0,Communication touristique;Valorisation du patrimoine,Tourisme,Création d'un circuit touristique;Projet de valorisation du patrimoine,Professionnel du tourisme;Entrepreneur,Environnement international;Bureau,TEE
589,Bac+3,Biologie;Anglais;Français;Histoire-Géographie;Technique,0,0,12.98,8.26,16.88,11.82,14.25,0,13.96,15.88,0,0,Communication touristique;Valorisation du patrimoine;Art culinaire,Communication;Intelligence artificielle,Projet de découverte touristique;Projet de valorisation du patrimoine,Commercial,Terrain;Environnement international;Travail en équipe,TEE
590,Bac+1,Histoire-Géographie;Anglais;Français;Technique;Gestion,0,0,8.81,0,16.38,16.87,12.76,0,0,12.97,0,0,Communication touristique;Environnement;Gestion touristique;Informatique industrielle,Communication;Environnement;Tourisme,Projet de valorisation du patrimoine;Projet de découverte touristique,Entrepreneur,Travail en équipe,TEE
591,Baccalauréat S,Histoire-Géographie;Français;Biologie;Anglais,0,0,9.44,0,17.07,16.55,18.09,0,15.32,10.65,15.01,0,Gestion touristique;Valorisation du patrimoine,Tourisme;Communication,Création d'un circuit touristique,Professionnel du tourisme;Commercial,Bureau;Terrain;Environnement international,TEE
592,Bac+3,Français;Histoire-Géographie,13.78,0,0,10.86,14.61,17.49,13.83,0,0,12.73,0,0,Valorisation du patrimoine;Environnement,Environnement;Tourisme;Communication,Création d'un circuit touristique;Projet de découverte touristique,Entrepreneur;Professionnel du tourisme,Travail en équipe;Bureau,TEE
593,Bac+3,Français;Histoire-Géographie;Anglais;Biologie,0,0,10.89,0,19.22,13.81,14.69,14.83,0,15.3,0,0,Gestion touristique;Environnement;Communication touristique,Tourisme;Environnement;Communication;Droit,Création d'un circuit touristique,Entrepreneur,Environnement international;Travail en équipe,TEE
594,Bac+1,Français;Biologie;Chimie,0,8.73,13.79,10.0,14.88,16.0,17.16,8.47,8.08,13.04,0,0,Communication touristique;Valorisation du patrimoine;Environnement,Environnement;Communication,Projet de découverte touristique;Création d'un circuit touristique,Professionnel du tourisme;Entrepreneur,Bureau,TEE
595,Baccalauréat C,Histoire-Géographie;Anglais;Français;Biologie;Physique;Économie,0,0,15.77,0,18.91,15.05,14.13,0,0,17.22,10.0,0,Communication touristique,Communication;Tourisme;Business,Création d'un circuit touristique;Projet de valorisation du patrimoine;Participation à une association,Professionnel du tourisme;Entrepreneur,Travail en équipe;Bureau;Terrain,TEE
596,Bac+3,Anglais;Français;Biologie,0,0,0,0,11.08,18.74,16.68,11.95,14.44,17.57,10.8,9.49,Gestion touristique;Valorisation du patrimoine;Communication touristique,Communication,Projet de découverte touristique;Création d'un circuit touristique;Projet personnel,Professionnel du tourisme,Travail en équipe;Environnement international,TEE
597,Baccalauréat C,Biologie;Anglais;Histoire-Géographie,15.84,0,12.64,8.67,16.3,14.99,16.95,15.2,14.73,13.19,0,0,Communication touristique;Environnement;Valorisation du patrimoine,Communication;Tourisme;Environnement;Agriculture,Projet de valorisation du patrimoine;Projet de découverte touristique,Entrepreneur;Architecte,Bureau,TEE
598,Baccalauréat D,Biologie;Histoire-Géographie;Anglais,15.06,0,0,8.13,15.4,18.24,16.72,0,0,17.64,0,12.71,Environnement,Communication;Tourisme;Environnement;Sciences,Projet de valorisation du patrimoine,Professionnel du tourisme;Commercial,Terrain;Travail en équipe;Bureau,TEE
599,Bac+3,Biologie;Anglais;Français;Histoire-Géographie,0,13.01,0,14.4,15.25,14.31,18.87,0,15.09,13.89,0,14.11,Valorisation du patrimoine;Gestion touristique;Environnement,Environnement,Création d'un circuit touristique;Projet de valorisation du patrimoine,Commercial;Entrepreneur,Terrain;Travail en équipe;Bureau,TEE
600,Baccalauréat C,Anglais;Biologie;Histoire-Géographie;Français,0,0,9.85,0,12.64,18.46,16.95,12.02,0,14.84,0,13.49,Environnement;Communication touristique;Valorisation du patrimoine,Environnement,Projet de valorisation du patrimoine,Commercial;Entrepreneur,Environnement international;Bureau,TEE
601,Baccalauréat D,Histoire-Géographie;Anglais;Français,0,12.79,13.78,0,14.6,14.38,14.68,9.53,14.07,14.1,0,10.25,Communication;Marketing,Tourisme;Communication;Business,Organisation d'un service hôtelier;Organisation d'un événement hôtelier,Manager;Professionnel du tourisme,Environnement international;Entreprise;Travail en équipe;Environnement industriel,TEH
602,Bac+2,Histoire-Géographie;Français;Anglais,9.75,0,15.05,15.89,17.09,13.18,0,12.69,0,14.25,0,13.98,Accueil;Art culinaire;Programmation,Business;Tourisme,Organisation d'un service hôtelier;Organisation d'un événement hôtelier;Projet personnel,Entrepreneur,Travail en équipe;Environnement international,TEH
603,Bac+1,Histoire-Géographie;Anglais,8.68,0,10.57,0,18.48,12.41,11.98,10.56,15.31,14.19,12.86,13.13,Tourisme;Art culinaire;Multimédia,Tourisme;Communication;Business;Droit,Projet de restauration,Professionnel du tourisme;Entrepreneur,Travail en équipe;Environnement international;Entreprise,TEH
604,Bac+2,Anglais;Français,10.2,0,0,0,14.98,14.58,11.56,14.24,0,10.3,13.8,14.35,Tourisme;Technologies minières,Business;Communication,Projet de restauration,Professionnel du tourisme,Travail en équipe;Entreprise;Environnement international,TEH
605,Bac+3,Anglais;Français;Technique,0,8.41,8.98,10.02,13.76,16.05,8.57,0,12.29,12.39,15.7,10.04,Tourisme;Techniques agricoles,Communication;Business;Tourisme,Organisation d'un service hôtelier;Projet de restauration,Professionnel du tourisme;Entrepreneur,Travail en équipe;Environnement international;Entreprise,TEH
606,Baccalauréat S,Anglais;Histoire-Géographie;Français;Physique;Gestion,9.24,0,0,0,14.3,11.91,13.89,0,0,14.02,0,14.45,Gestion hôtelière;Tourisme,Business;Communication,Projet de restauration;Participation à une association,Entrepreneur;Manager,Environnement international;Entreprise;Travail en équipe,TEH
607,Bac+3,Français;Histoire-Géographie;Anglais;Gestion;Physique,11.68,0,14.77,0,12.79,14.88,0,0,0,15.28,0,13.44,Accueil;Gestion hôtelière,Business;Tourisme,Projet de restauration;Organisation d'un service hôtelier,Professionnel du tourisme;Manager,Travail en équipe,TEH
608,Baccalauréat Technique,Histoire-Géographie;Anglais;Français,0,12.31,8.68,14.41,18.31,14.01,12.83,0,11.94,14.62,14.81,0,Art culinaire;Communication,Business,Organisation d'un événement hôtelier,Entrepreneur;Ingénieur,Environnement international;Entreprise;Travail en équipe,TEH
609,Baccalauréat S,Histoire-Géographie;Français;Anglais,0,0,15.59,0,14.71,19.12,0,0,12.05,16.34,0,14.48,Accueil;Communication;Gestion hôtelière;Python,Tourisme;Communication;Business,Organisation d'un événement hôtelier,Manager,Travail en équipe;Environnement international,TEH
610,Baccalauréat S,Anglais;Histoire-Géographie;Français;Économie;Biologie,8.61,0,0,0,17.43,14.56,11.6,0,10.71,12.83,0,0,Communication;Accueil;Art culinaire,Communication;Business;Tourisme,Projet de restauration;Organisation d'un événement hôtelier,Professionnel du tourisme;Architecte,Environnement international;Entreprise;Terrain,TEH
611,Bac+3,Français;Histoire-Géographie,0,0,8.01,0,18.81,14.99,0,11.37,0,16.98,11.72,12.83,Art culinaire,Business;Tourisme,Organisation d'un événement hôtelier,Manager,Travail en équipe;Entreprise;Environnement international;Travail individuel,TEH
612,Baccalauréat C,Français;Histoire-Géographie,0,10.38,11.2,0,13.29,15.48,15.25,0,0,13.65,14.38,12.52,Art culinaire;Gestion hôtelière;Communication;Gestion commerciale,Tourisme;Communication;Business;Droit,Organisation d'un service hôtelier;Organisation d'un événement hôtelier;Projet personnel,Entrepreneur,Travail en équipe,TEH
613,Bac+2,Français;Histoire-Géographie;Anglais,9.11,0,0,8.03,12.95,17.82,0,0,10.21,13.95,0,14.18,Communication;Accueil,Tourisme;Business;Informatique,Organisation d'un événement hôtelier;Projet de restauration,Manager;Entrepreneur,Environnement international;Entreprise,TEH
614,Baccalauréat Technique,Français;Histoire-Géographie;Anglais,15.26,0,12.34,12.57,16.49,15.67,0,0,14.07,14.07,0,11.89,Accueil;Gestion des procédés,Communication;Tourisme;Business;Informatique,Organisation d'un événement hôtelier;Projet de restauration;Participation à une association,Entrepreneur;Professionnel du tourisme,Environnement international;Travail en équipe;Entreprise,TEH
615,Bac+1,Français;Anglais;Histoire-Géographie,0,8.49,9.8,15.63,19.25,16.84,0,0,0,15.96,9.82,12.64,Art culinaire;Tourisme,Communication;Business;Agriculture,Organisation d'un service hôtelier;Projet de restauration,Entrepreneur,Environnement international;Entreprise,TEH
616,Baccalauréat S,Anglais;Histoire-Géographie;Français,8.41,0,0,0,14.77,18.95,8.94,11.87,0,14.22,10.32,0,Tourisme;Art culinaire;Organisation,Tourisme;Business,Projet de restauration,Entrepreneur;Professionnel du tourisme,Entreprise;Travail en équipe;Environnement international,TEH
617,Baccalauréat C,Français;Anglais;Histoire-Géographie,0,14.92,0,0,12.74,19.11,0,0,0,19.31,11.0,13.23,Communication;Art culinaire;Gestion hôtelière,Communication;Tourisme,Organisation d'un événement hôtelier;Organisation d'un service hôtelier;Participation à une association,Manager;Ingénieur,Travail en équipe;Entreprise;Environnement international,TEH
618,Bac+3,Histoire-Géographie;Français;Anglais,15.53,14.3,12.72,10.24,11.94,14.37,0,0,0,19.03,0,12.9,Accueil;Communication;Art culinaire,Communication;Tourisme,Organisation d'un événement hôtelier,Manager,Entreprise,TEH
619,Bac+2,Anglais;Histoire-Géographie;Français,0,8.85,0,0,16.93,10.81,10.49,14.42,15.8,16.93,0,14.41,Communication;Art culinaire,Communication;Business;Tourisme,Organisation d'un événement hôtelier,Professionnel du tourisme;Architecte,Entreprise;Environnement international,TEH
620,Baccalauréat Technique,Histoire-Géographie;Anglais;Français,0,0,0,0,15.19,17.04,0,14.38,14.41,17.39,0,14.54,Communication;Art culinaire,Communication;Environnement,Organisation d'un service hôtelier,Manager;Data Scientist,Environnement international;Travail individuel,TEH
621,Bac+1,Anglais;Français;Histoire-Géographie,9.27,0,0,15.1,13.81,13.42,0,0,0,14.43,0,9.05,Tourisme;Gestion hôtelière,Tourisme;Communication,Projet de restauration;Organisation d'un service hôtelier;Projet scolaire,Entrepreneur,Environnement international;Travail en équipe,TEH
622,Baccalauréat D,Français;Histoire-Géographie,15.62,9.9,0,13.66,10.28,11.7,12.76,11.21,13.93,15.44,13.07,10.92,Gestion hôtelière;Art culinaire;Accueil,Business;Tourisme;Droit,Organisation d'un événement hôtelier;Organisation d'un service hôtelier;Projet personnel,Entrepreneur,Entreprise;Environnement international,TEH
623,Baccalauréat D,Français;Anglais;Histoire-Géographie,0,0,0,12.28,19.72,19.13,14.74,0,0,13.21,0,0,Tourisme;Art culinaire,Communication,Organisation d'un service hôtelier;Projet de restauration,Professionnel du tourisme;Manager;Technicien,Environnement international,TEH
624,Bac+1,Français;Anglais,0,0,0,0,15.57,16.16,0,0,9.53,14.67,10.43,0,Art culinaire;Accueil;Tourisme,Communication;Business;Santé,Organisation d'un événement hôtelier;Organisation d'un service hôtelier,Professionnel du tourisme,Environnement international;Entreprise;Travail en équipe;Télétravail,TEH
625,Bac+2,Français;Histoire-Géographie;Anglais,8.53,0,0,0,14.72,15.56,0,0,10.09,11.07,12.8,14.08,Tourisme;Gestion hôtelière;Art culinaire,Communication;Business,Organisation d'un événement hôtelier;Organisation d'un service hôtelier,Manager,Travail en équipe;Entreprise,TEH
626,Bac+1,Histoire-Géographie;Anglais;Informatique;Technique,0,0,0,14.41,13.57,17.58,0,0,11.34,15.61,0,0,Tourisme;Pharmacologie,Tourisme;Communication,Projet de restauration;Organisation d'un événement hôtelier,Professionnel du tourisme,Environnement international,TEH
627,Baccalauréat D,Histoire-Géographie;Français;Économie,14.73,9.17,0,13.9,13.12,18.84,13.13,12.95,0,17.72,0,10.91,Communication;Accueil,Tourisme;Communication,Projet de restauration;Organisation d'un événement hôtelier,Entrepreneur,Travail en équipe;Entreprise;Environnement international,TEH
628,Baccalauréat D,Français;Histoire-Géographie;Informatique,9.99,0,0,15.89,13.0,12.39,0,13.07,0,14.83,9.93,10.59,Art culinaire;Communication touristique,Communication;Agriculture,Organisation d'un service hôtelier;Organisation d'un événement hôtelier,Manager;Entrepreneur;Technicien,Environnement international;Entreprise,TEH
629,Bac+2,Anglais;Histoire-Géographie;Français;Chimie;Économie,0,0,9.86,0,12.4,15.74,0,0,0,19.38,13.94,0,Communication;Tourisme,Business,Organisation d'un événement hôtelier;Projet de restauration,Manager;Entrepreneur,Travail en équipe;Entreprise;Télétravail,TEH
630,Bac+2,Anglais;Histoire-Géographie;Physique,0,14.82,0,0,17.96,15.37,14.99,11.49,8.33,12.34,0,14.47,Art culinaire;Communication;Accueil,Tourisme;Business,Organisation d'un événement hôtelier;Organisation d'un service hôtelier,Professionnel du tourisme;Comptable,Environnement international;Entreprise,TEH
631,Bac+3,Histoire-Géographie;Français,0,0,12.75,14.39,18.33,13.41,0,12.07,0,14.8,0,11.36,Gestion hôtelière;Tourisme;Art culinaire;Prise de décision,Communication;Business,Projet de restauration,Professionnel du tourisme,Environnement international,TEH
632,Baccalauréat Technique,Histoire-Géographie;Français,0,9.23,9.69,8.14,16.37,14.4,0,11.2,15.07,17.19,0,13.13,Tourisme;Accueil,Communication,Organisation d'un service hôtelier;Organisation d'un événement hôtelier,Entrepreneur;Manager,Environnement international,TEH
633,Baccalauréat D,Français;Anglais;Mathématiques,12.86,11.22,0,14.0,17.15,14.88,0,8.26,14.68,13.57,0,11.76,Art culinaire;Accueil;Communication,Communication,Organisation d'un événement hôtelier;Organisation d'un service hôtelier,Manager,Environnement international;Entreprise;Atelier,TEH
634,Bac+1,Histoire-Géographie;Français;Anglais,0,10.57,0,0,16.24,16.39,12.51,0,0,15.64,0,12.08,Tourisme,Tourisme;Business;Finance,Organisation d'un service hôtelier,Professionnel du tourisme;Architecte,Entreprise;Travail en équipe;Environnement international,TEH
635,Bac+3,Français;Anglais,0,15.93,0,0,13.11,15.21,0,0,12.17,15.5,11.62,11.23,Accueil;Analyse,Tourisme,Organisation d'un événement hôtelier;Projet de restauration,Manager;Professionnel du tourisme;Architecte,Travail en équipe;Entreprise;Environnement international;Bureau,TEH
636,Baccalauréat C,Anglais;Français;Mathématiques,0,0,0,9.02,14.49,14.51,12.45,0,10.61,15.59,0,0,Tourisme;Communication;Analyse économique,Communication,Projet de restauration,Professionnel du tourisme;Entrepreneur,Entreprise;Travail en équipe;Laboratoire,TEH
637,Baccalauréat S,Français;Histoire-Géographie,9.22,0,0,0,19.07,14.74,0,8.68,15.45,18.66,0,0,Communication,Tourisme;Communication;Business,Projet de restauration,Entrepreneur;Professionnel du tourisme,Entreprise,TEH
638,Baccalauréat S,Français;Histoire-Géographie,14.86,0,0,15.59,12.44,14.93,0,12.7,10.49,11.86,13.96,0,Art culinaire;Gestion hôtelière;Valorisation du patrimoine,Communication;Tourisme;Business;Droit,Projet de restauration;Organisation d'un service hôtelier,Professionnel du tourisme;Entrepreneur,Travail en équipe;Environnement international;Entreprise,TEH
639,Baccalauréat C,Français;Histoire-Géographie,0,12.95,0,0,13.17,16.77,9.83,0,0,12.57,0,0,Gestion hôtelière,Tourisme;Intelligence artificielle,Organisation d'un événement hôtelier;Organisation d'un service hôtelier,Manager,Entreprise;Environnement international,TEH
640,Bac+3,Français;Anglais,14.29,9.81,15.45,10.25,14.09,14.13,0,0,0,17.56,0,0,Gestion hôtelière;Accueil,Tourisme,Projet de restauration;Organisation d'un événement hôtelier,Manager;Professionnel du tourisme,Environnement international;Travail en équipe,TEH
